tues, 17, 1, blue , 65, 42, 17, 1,
thurs, 19, 1, other, 100, 43, 23, 1,
tues, 24, 1, blue, 86, 40, 6, 1,
thurs, 26, 1, grey, 87, 24, 20, 1,
tues, 31, 1, grey, 43, 20, 6, 0,
thurs, 2, 2, blue, 35, 39, 15, 0,
tues, 7, 2, blue, 78, 48, 16, 0,
thurs, 9, 2, grey, 63, 42, 35, 1,
tues, 14, 2, blue, 97, 55, 15, 1,
thurs, 16, 2, grey, 48, 40, 13, 1,
tues, 21, 2, other, 95, 46, 25, 0,
thurs, 23, 2, other, 85, 50, 25, 1,
tues, 28, 2, blue, 32, 51, 17, 0,
thurs, 2, 3, other, 97, 51, 17, 0,
tues, 7, 3, blue, 45, 38, 12, 0,
thurs, 9, 3, other, 76, 37, 24, 1,
tues, 21, 3, grey, 52, 50, 20, 0,
thurs, 23, 3, blue, 65, 61, 22, 1,
tues, 28, 3, grey, 75, 52, 12, 0,
thurs, 30, 3, blue, 67, 64, 25, 1,
tues, 4, 4, blue, 85, 82, 33, 0,
thurs, 6, 4, other, 87, 49, 14, 0,
tues, 11, 4, other, 78, 79, 18, 0,
thurs, 13, 4, grey, 69, 79, 6, 0, 
tues, 18, 4, other, 87, 62, 3, 0,
thurs, 20, 4, blue, 100, 79, 8, 0,
tues, 25, 4, blue, 87, 57, 8, 0,
thurs, 27, 4, blue, 100, 68, 8, 1,
tues, 2, 5, blue, 86, 62, 11, 0